# DealMapper — Master Catalogue Index
# ──────────────────────────────────────────────────────────────────────────────
# Presentation order: Revenue → Operational → People/Legal → Finance → Controls/IT → ESG → Separation
# Format: ITEM-ID | CODE | WORKSTREAM | SECTION | PHASE | PRI | FLAGS | NODE
# Flags:  * = Must-Have   T = TSA-Shadow (active when tsaRequired=yes)   X = Cross-Border
# Generated: 2026-04-23 | Total: 632 items | Must-Haves: 60
# ──────────────────────────────────────────────────────────────────────────────
# Canonical workstream codes:
#   GTM=Go-To-Market  PRD=Product & R&D
#   SCO=Supply Chain & Ops  CAP=Capital Projects  FAC=Facilities  IMO=Integration Mgmt
#   HR=Human Resources  LGL=Legal  COM=Communications
#   TRS=Treasury  OFN=Operational Finance  FPA=FP&A
#   FRC=Financial Reporting & Consolidation  TCA=Technical Accounting
#   TAX=Income Tax  TSA=TSA
#   CTL=Controls  GRC=Governance & Compliance
#   ITG=IT Strategy & Governance  ITE=IT > Enterprise Systems
#   ITI=IT > Infrastructure  ITD=IT > Data & Analytics
#   ITV=IT > IT Vendor Management  ITC=IT > Client-Facing & Digital
#   ESG=ESG  SEP=Carve-Out / Separation
# ──────────────────────────────────────────────────────────────────────────────


# ═══════════════════════════════════════════════════════════════════════════════
# REVENUE TRACK — GTM · PRD
# Focus: customer base, pipeline, brand, pricing, product roadmap, IP, clinical
# ═══════════════════════════════════════════════════════════════════════════════

# ── [GTM] Go-To-Market — 28 items (GTM-0600–GTM-0626 + GTM-0718 TSA-shadow) ──

# Sales Integration
GTM-0600 | GTM | Go-To-Market | Sales Integration          | day_1  | critical | *   |
GTM-0601 | GTM | Go-To-Market | Sales Integration          | day_1  | high     |     |
GTM-0602 | GTM | Go-To-Market | Sales Integration          | day_30 | critical | * X |
GTM-0603 | GTM | Go-To-Market | Sales Integration          | day_1  | high     |     |
GTM-0604 | GTM | Go-To-Market | Sales Integration          | day_30 | high     |     |
GTM-0605 | GTM | Go-To-Market | Sales Integration          | day_1  | high     |   X |
GTM-0606 | GTM | Go-To-Market | Sales Integration          | day_60 | medium   |     |
GTM-0607 | GTM | Go-To-Market | Sales Integration          | day_30 | high     |     |
GTM-0608 | GTM | Go-To-Market | Sales Integration          | day_60 | medium   |     |
GTM-0609 | GTM | Go-To-Market | Sales Integration          | day_60 | high     |     |
GTM-0610 | GTM | Go-To-Market | Sales Integration          | day_30 | medium   |     |
GTM-0611 | GTM | Go-To-Market | Sales Integration          | day_60 | critical | *   |
GTM-0612 | GTM | Go-To-Market | Sales Integration          | day_90 | high     |     |
GTM-0613 | GTM | Go-To-Market | Sales Integration          | day_30 | critical |     |
GTM-0614 | GTM | Go-To-Market | Sales Integration          | day_60 | high     |     |
# Marketing Integration
GTM-0615 | GTM | Go-To-Market | Marketing Integration      | day_30 | critical | *   |
GTM-0616 | GTM | Go-To-Market | Marketing Integration      | day_30 | high     |     |
GTM-0617 | GTM | Go-To-Market | Marketing Integration      | day_60 | medium   |     |
GTM-0618 | GTM | Go-To-Market | Marketing Integration      | day_30 | medium   |     |
GTM-0619 | GTM | Go-To-Market | Marketing Integration      | day_60 | low      |     |
GTM-0620 | GTM | Go-To-Market | Marketing Integration      | day_30 | high     |     |
GTM-0621 | GTM | Go-To-Market | Marketing Integration      | day_60 | medium   |     |
# Customer Success
GTM-0622 | GTM | Go-To-Market | Customer Success           | day_30 | critical | *   |
GTM-0623 | GTM | Go-To-Market | Customer Success           | day_1  | critical |     |
GTM-0624 | GTM | Go-To-Market | Customer Success           | day_60 | high     |     |
GTM-0625 | GTM | Go-To-Market | Customer Success           | day_60 | medium   |     |
GTM-0626 | GTM | Go-To-Market | Customer Success           | day_30 | high     |     |
# TSA-Shadow
GTM-0718 | GTM | Go-To-Market | TSA Commercial Operations  | day_90 | critical | * T |


# ── [PRD] Product & R&D — 11 items (PRD-0638–PRD-0648) ──────────────────────

# IP & Source Code
PRD-0638 | PRD | Product & R&D | IP & Source Code           | day_1  | critical |     |
PRD-0639 | PRD | Product & R&D | IP & Source Code           | day_1  | critical |     |
PRD-0646 | PRD | Product & R&D | IP & Source Code           | day_30 | high     |   X |
# Engineering Organization
PRD-0640 | PRD | Product & R&D | Engineering Organization   | day_30 | high     |     |
PRD-0643 | PRD | Product & R&D | Engineering Organization   | day_30 | high     |     |
PRD-0644 | PRD | Product & R&D | Engineering Organization   | day_60 | high     |     |
# Product Strategy & Roadmap
PRD-0641 | PRD | Product & R&D | Product Strategy           | day_60 | critical | *   |
PRD-0642 | PRD | Product & R&D | Product Strategy           | day_90 | high     |     |
PRD-0645 | PRD | Product & R&D | Product Strategy           | day_90 | medium   |     |
PRD-0647 | PRD | Product & R&D | Product Strategy           | day_60 | medium   |     |
# Clinical & Regulated R&D
PRD-0648 | PRD | Product & R&D | Clinical & Regulated R&D  | day_90 | critical | * X |


# ═══════════════════════════════════════════════════════════════════════════════
# OPERATIONAL TRACK — SCO · CAP · FAC · IMO
# Focus: supply chain, manufacturing, real estate, capex, programme governance
# ═══════════════════════════════════════════════════════════════════════════════

# ── [SCO] Supply Chain & Ops — 12 items (SCO-0627–SCO-0637 + SCO-0721) ───────

# Trade & Regulatory Compliance
SCO-0627 | SCO | Supply Chain & Ops | Trade Compliance          | day_1  | critical | * X |
# Supplier Management
SCO-0628 | SCO | Supply Chain & Ops | Supplier Management       | day_30 | high     |     |
SCO-0629 | SCO | Supply Chain & Ops | Supplier Quality          | day_60 | critical | *   |
SCO-0630 | SCO | Supply Chain & Ops | Supplier Management       | day_30 | high     |     |
# Logistics & Distribution
SCO-0631 | SCO | Supply Chain & Ops | Logistics & Distribution  | day_60 | medium   |     |
SCO-0632 | SCO | Supply Chain & Ops | Logistics & Distribution  | day_60 | high     |     |
# Inventory & Materials
SCO-0633 | SCO | Supply Chain & Ops | Inventory Management      | day_30 | high     |     |
SCO-0634 | SCO | Supply Chain & Ops | Inventory Management      | day_90 | medium   |     |
SCO-0635 | SCO | Supply Chain & Ops | Inventory Management      | day_90 | medium   |     |
# Manufacturing Footprint
SCO-0636 | SCO | Supply Chain & Ops | Manufacturing Footprint   | year_1 | critical | *   |
